facil,SiteCode  ,Storer         ,Sku                 ,Description                                                 ,<= 15 Days,>15 and <=30 Days   ,>30 and <=45 Days   ,>45 and <=60 Days   ,>60 and <=90 Days   ,>90 and <=120 Days  ,>120 and <=150 Days ,>150 and <=180 Days ,>180 and <=210 Days ,>210 Days 
DLNSW,DMI       ,DELL           ,2N8HG               ,CASE CRYG 15.6 TEK BLACK BP                                 ,0         ,0                   ,0                   ,0                   ,1000                ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,2PFPR               ,CUS CTRG TONR 8.5K REGLR GV                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3         
DLNSW,VMI       ,M1010          ,2PFPR               ,CUS CTRG TONR 8.5K REGLR GV                                 ,0         ,157                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,2PRFP               ,CTRG TONR 3k CYAN SY C37XX                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3         
DLNSW,VMI       ,M1100          ,2PRFP               ,CTRG TONR 3k CYAN SY C37XX                                  ,20        ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,19        
DLNSW,VMI       ,M1010          ,2TTWC               ,CUS CTRG TONR 25K REGLR B546X                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,5         
DLAKL,DMI       ,DELL           ,2TVMF               ,CASE CRYG 15.6 POLY UR2.0 BP                                ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,75                  ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,2TVMF               ,CASE CRYG 15.6 POLY UR2.0 BP                                ,0         ,18                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,22        
DLNSW,VMI       ,M1024          ,2TVMF               ,CASE CRYG 15.6 POLY UR2.0 BP                                ,0         ,0                   ,131                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,13        
DLWA ,DMI       ,DELL           ,2TVMF               ,CASE CRYG 15.6 POLY UR2.0 BP                                ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLAKL,DMI       ,DELL           ,2V1MF               ,DIS FPL 21.5 S2240T ANZ                                     ,0         ,9                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M00029         ,2V1MF               ,DIS FPL 21.5 S2240T ANZ                                     ,144       ,38                  ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,VMI       ,M0966          ,2WD25               ,DIS 23 S2340L ANZ                                           ,0         ,0                   ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,2XWPC               ,ASSY CBL DNGL MINI HDMI/DVI NB                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,23        
DLNSW,DMI       ,DELL           ,2XWPC               ,ASSY CBL DNGL MINI HDMI/DVI NB                              ,0         ,0                   ,0                   ,0                   ,0                   ,90                  ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,2YDW7               ,FGA OPTI DT 9020 BTS                                        ,0         ,0                   ,159                 ,0                   ,0                   ,0                   ,5                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,3070F               ,CTRG TONR 3K HY BLK C266X                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3         
DLNSW,VMI       ,M1100          ,3070F               ,CTRG TONR 3K HY BLK C266X                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,367                 ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,31R6K               ,CSN LBL MELBOURNE WATER D2XVY                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,91                  ,0         
DLNSW,VMI       ,M1100          ,31XHP               ,CTRG TONR 15K BLK SY C7765DN                                ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,284       
DLNSW,DMI       ,DELL           ,33CJM               ,FGA INSP DT 3847 BTS                                        ,0         ,0                   ,113                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,33FRM               ,FGA INSP LPT N5110 BTP                                      ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,33FRM               ,FGA INSP LPT N5110 BTP                                      ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,34DX7               ,ASSY STRAP SHLDR RDG 7204                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,36        
DLAKL,DMI       ,DELL           ,3581G               ,CTRG TONR 1.4K YEL E525W                                    ,0         ,0                   ,0                   ,18                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,3581G               ,CTRG TONR 1.4K YEL E525W                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,634                 ,0                   ,0         
DLNSW,VMI       ,M1100          ,35C7V               ,KIT PTR LJ DRUM KIT S281X/H815                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,27                  ,0                   ,0         
DLNSW,DMI       ,DELL           ,35RRT               ,FGA OPTI DT 9020M BTS                                       ,0         ,160                 ,240                 ,237                 ,0                   ,1                   ,1                   ,0                   ,1                   ,1         
DLAKL,DMI       ,DELL           ,35VN6               ,DIS 21.5 UZ2215H CCC                                        ,0         ,0                   ,0                   ,0                   ,0                   ,6                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,37GVD               ,KIT MSE USB OT BB MS116 PMX B                               ,15000     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,39DVK               ,ASSY CBL SAS EXT MINI 6M                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,4         
DLNSW,DMI       ,DELL           ,3GFTM               ,FGA INSP LPT 3558 BTS                                       ,0         ,0                   ,0                   ,38                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1010          ,3HRKT               ,ASSY TRAY STPLR FNSHR B3465                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,6         
DLNSW,DMI       ,DELL           ,3HWF0               ,KYBD 104 US KB212B LTON                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,8         
DLNSW,DMI       ,DELL           ,3J11D               ,CTRG TONR 1.5K BLK 1130                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,15        
DLAKL,DMI       ,DELL           ,3JKM1               ,KIT STND W/CVR AIO USFF                                     ,20        ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
